Date : 2021-09-14 13:07:16
Directory : d:\Programowanie\Unity\SimpleRougelike
Total : 94 files,  29131 codes, 490 comments, 2458 blanks, all 32079 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
+-----------+------------+------------+------------+------------+------------+
| Log       |         14 |     20,085 |          0 |        929 |     21,014 |
| C#        |         59 |      5,191 |        401 |        880 |      6,472 |
| ShaderLab |         13 |      2,015 |         61 |        557 |      2,633 |
| XML       |          1 |        855 |          7 |          1 |        863 |
| JSON      |          3 |        662 |          0 |          4 |        666 |
| HLSL      |          4 |        323 |         21 |         87 |        431 |
+-----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |         94 |     29,131 |        490 |      2,458 |     32,079 |
| Assets                                                                                                   |         77 |      7,684 |        483 |      1,526 |      9,693 |
| Assets\SaveDataTypes                                                                                     |          1 |         42 |         10 |         11 |         63 |
| Assets\Scripts                                                                                           |         49 |      4,753 |        363 |        799 |      5,915 |
| Assets\Scripts\AStar                                                                                     |          4 |        281 |         12 |         57 |        350 |
| Assets\Scripts\CellsVariant                                                                              |         17 |      1,166 |         82 |        182 |      1,430 |
| Assets\Scripts\CellsVariant\Data_ScriptableObject                                                        |          3 |        135 |         24 |         27 |        186 |
| Assets\Scripts\CellsVariant\Interfaces                                                                   |          8 |         75 |          2 |         18 |         95 |
| Assets\Scripts\Item Scripts                                                                              |          5 |        180 |          0 |         24 |        204 |
| Assets\Scripts\UiScripts                                                                                 |         15 |      1,445 |        157 |        264 |      1,866 |
| Assets\TextMesh Pro                                                                                      |         18 |      2,493 |         82 |        646 |      3,221 |
| Assets\TextMesh Pro\Shaders                                                                              |         17 |      2,338 |         82 |        644 |      3,064 |
| Assets\TextMesh Pro\Sprites                                                                              |          1 |        155 |          0 |          2 |        157 |
| Assets\enums                                                                                             |          4 |         46 |          0 |          4 |         50 |
| Logs                                                                                                     |         14 |     20,085 |          0 |        929 |     21,014 |
| Packages                                                                                                 |          2 |        507 |          0 |          2 |        509 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| filename                                                                                                 | language  | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| d:\Programowanie\Unity\SimpleRougelike\Assembly-CSharp.csproj                                            | XML       |        855 |          7 |          1 |        863 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\CustomEventManager.cs                                      | C#        |         46 |          0 |          9 |         55 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\DungeonManager.cs                                          | C#        |         50 |          8 |          8 |         66 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\HeroDataController.cs                                      | C#        |        161 |         19 |         29 |        209 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\HeroLoadCard.cs                                            | C#        |         75 |          1 |         17 |         93 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\SaveDataTypes\PlayerProgressModel.cs                       | C#        |         42 |         10 |         11 |         63 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\AStar\Heap.cs                                      | C#        |         85 |          0 |         19 |        104 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\AStar\Node.cs                                      | C#        |         40 |          0 |          4 |         44 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\AStar\NodeGrid.cs                                  | C#        |         69 |          2 |         13 |         84 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\AStar\Pathfinding.cs                               | C#        |         87 |         10 |         21 |        118 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Bomb_Cell.cs                          | C#        |        226 |         39 |         27 |        292 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\CellScript.cs                         | C#        |        231 |          2 |         28 |        261 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Data_ScriptableObject\BombData.cs     | C#        |         78 |         24 |         13 |        115 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Data_ScriptableObject\MonsterData.cs  | C#        |         18 |          0 |          4 |         22 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Data_ScriptableObject\TreasureData.cs | C#        |         39 |          0 |         10 |         49 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\IChest.cs                  | C#        |         10 |          0 |          2 |         12 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\ICreature.cs               | C#        |         13 |          0 |          1 |         14 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\IFragile.cs                | C#        |          5 |          0 |          1 |          6 |
